length-of-text, length-of-pattern, Naive, Boyer-Moore, Horspool
879,152,30,22,4
1653,52,26,3,3
14,132,0,3,3
468,72,7,2,3
918,71,14,3,2
331,67,4,1,2
595,89,9,2,3
651,194,8,4,4
592,17,10,3,2
857,90,13,3,4
64,199,0,3,5
1669,54,27,3,3
944,168,14,4,4
927,124,14,3,3
380,59,6,2,2
1168,34,19,4,3
1663,30,27,4,4
585,182,7,4,4
783,10,14,4,4
1283,130,19,3,4
1258,43,21,3,2
1573,102,25,4,5
399,82,5,2,3
1934,153,30,4,4
1730,40,28,4,3
1970,33,32,5,4
1171,140,17,3,4
955,90,15,2,3
230,171,1,3,4
570,159,6,3,4
707,68,11,2,3
1612,163,24,5,5
393,83,6,2,2
304,155,2,3,3
1001,128,14,4,4
667,150,9,3,4
1844,181,27,5,5
878,178,12,4,5
102,74,0,1,2
1243,136,19,3,3
1446,15,26,5,5
1427,156,21,4,4
928,200,12,5,5
962,20,17,3,3
452,31,7,2,2
1391,52,22,3,2
1819,7,33,12,10
198,97,2,2,2
1932,22,34,5,5
1201,18,22,4,3
1890,37,30,4,3
83,85,0,2,2
644,79,9,3,3
273,18,4,1,1
1977,58,32,3,3
374,20,7,2,1
1810,144,27,4,5
1781,62,29,3,3
734,135,10,3,3
1078,10,19,5,5
716,186,8,3,4
174,174,0,4,4
839,17,15,3,4
618,2,11,13,12
1359,84,21,3,4
543,70,8,2,2
1404,50,25,16,6
798,193,10,5,5
1931,37,31,5,4
621,135,8,3,4
461,99,6,2,3
1092,178,15,4,4
578,83,9,2,3
1782,67,28,3,4
12,31,0,1,1
53,50,0,2,1
150,130,0,3,3
1893,198,64,5,5
480,36,7,2,2
404,87,5,2,2
1270,80,19,3,3
725,184,10,4,5
97,154,0,4,3
1065,138,16,4,5
1046,125,15,13,7
1523,130,22,3,3
1842,143,29,6,5
1526,15,28,5,5
1505,195,22,5,5
1659,104,25,5,4
1127,88,17,3,3
831,63,13,2,2
960,191,431,6,15
412,189,4,3,4
271,6,6,3,3
221,167,2,5,6
1299,146,32,17,4
979,182,13,11,5
373,63,5,2,2
1809,2,30,35,31
752,159,9,3,3
724,192,8,4,5
283,43,4,1,1
1269,105,18,3,3
845,7,14,6,5
534,116,7,3,3
1259,159,16,4,4
1788,107,25,3,3
478,105,6,2,2
1892,149,27,4,4
1549,164,21,4,4
975,48,15,2,2
190,16,3,1,1
174,172,0,3,3
508,70,7,2,2
1290,164,17,3,4
1447,156,20,4,4
610,168,7,3,4
1587,114,23,3,3
302,170,5,5,6
833,154,16,5,7
1533,160,32,7,7
